iter	Passed	Remaining
559	4319	3393
560	4326	3385
561	4334	3377
562	4341	3369
563	4348	3361
564	4355	3353
565	4361	3344
566	4368	3336
567	4376	3328
568	4383	3320
569	4391	3312
570	4399	3305
571	4406	3297
572	4414	3289
573	4422	3282
574	4431	3275
575	4439	3268
576	4447	3260
577	4457	3254
578	4465	3247
579	4474	3240
580	4482	3232
581	4488	3223
582	4495	3215
583	4503	3207
584	4511	3200
585	4519	3193
586	4525	3184
587	4533	3176
588	4539	3167
589	4548	3160
590	4554	3151
591	4562	3144
592	4569	3136
593	4576	3128
594	4583	3119
595	4592	3113
596	4599	3105
597	4608	3097
598	4616	3090
599	4623	3082
600	4631	3075
601	4638	3066
602	4648	3060
603	4655	3052
604	4663	3044
605	4671	3037
606	4679	3029
607	4689	3023
608	4698	3016
609	4706	3009
610	4717	3003
611	4726	2996
612	4737	2990
613	4747	2984
614	4756	2977
615	4765	2970
616	4773	2962
617	4781	2955
618	4790	2948
619	4799	2941
620	4808	2934
621	4815	2926
622	4822	2918
623	4830	2910
624	4838	2902
625	4846	2895
626	4855	2888
627	4862	2880
628	4871	2873
629	4879	2866
630	4888	2858
631	4898	2852
632	4905	2844
633	4914	2836
634	4921	2829
635	4930	2821
636	4937	2813
637	4945	2806
638	4953	2798
639	4962	2791
640	4970	2783
641	4981	2777
642	4990	2771
643	4999	2763
644	5007	2756
645	5015	2748
646	5023	2740
647	5031	2733
648	5038	2724
649	5046	2717
650	5053	2709
651	5062	2701
652	5069	2694
653	5077	2686
654	5085	2678
655	5095	2671
656	5103	2664
657	5112	2657
658	5120	2649
659	5128	2642
660	5136	2634
661	5143	2626
662	5151	2618
663	5160	2611
664	5168	2603
665	5175	2595
666	5183	2587
667	5192	2580
668	5201	2573
669	5208	2565
670	5218	2558
671	5225	2550
672	5234	2543
673	5241	2535
674	5249	2527
675	5257	2519
676	5266	2512
677	5273	2504
678	5282	2497
679	5292	2490
680	5300	2482
681	5308	2475
682	5316	2467
683	5323	2459
684	5331	2451
685	5338	2443
686	5348	2436
687	5354	2428
688	5364	2421
689	5372	2413
690	5379	2405
691	5387	2397
692	5397	2391
693	5405	2383
694	5413	2375
695	5420	2367
696	5428	2359
697	5437	2352
698	5444	2344
699	5454	2337
700	5463	2330
701	5470	2322
702	5479	2314
703	5488	2307
704	5495	2299
705	5504	2292
706	5512	2284
707	5518	2276
708	5527	2268
709	5534	2260
710	5542	2253
711	5551	2245
712	5558	2237
713	5566	2229
714	5575	2222
715	5583	2214
716	5590	2206
717	5599	2199
718	5606	2191
719	5613	2183
720	5622	2175
721	5631	2168
722	5639	2160
723	5646	2152
724	5652	2144
725	5659	2135
726	5665	2127
727	5673	2119
728	5680	2111
729	5689	2104
730	5696	2096
731	5706	2089
732	5712	2080
733	5718	2072
734	5725	2064
735	5732	2056
736	5739	2048
737	5748	2040
738	5755	2032
739	5762	2024
740	5768	2016
741	5775	2008
742	5782	1999
